Side,Trick_list,Category
BS,Ollie 5,4
"BS, BS",Body Varial 540,4
BS,Body Varial 540,4
BS,540 Tail Grab,4
BS,540 Indy,4
BS,"Fakie, 540 Mute",4
"BS, BS","Indy, 540 Indy",4
BS,"Indy, 540 Indy",4
BS,540 Mute,4
BS,540 Melon,4
FS,540 Melon,4
"BS, FS","540 Melon, Nose Grind",4
BS,540 Nose Grab,4
FS,540 Nose Grab,4
BS,"Backside Air, 540 Nose Grab",4
BS,"Nose Grab, 540 Nose Grab",4
FS,"180 Halfcab, Blunt",4
FS,"Blunt, Kickflip",4
FS,Rodeo,4
BS,"180 Halfcab, Blunt",4
BS,"Blunt, Kickflip, Fakie",4
BS,Burntwist,4
BS,"360, Backside Air",4
BS,"360, Indy",4
BS,"Backside Air, 360",4
BS,"Backside Air, Fakie",4
BS,"Judo, 360",4
BS,"Ollie, Blunt, Kickflip, Fakie",4
BS,"Indy, 360",4
BS,"Nose Grab, 360, Alley Oop",4
BS,"Mute, 360",4
"Revert, BS",Nose Blunt,4
Revert,Nose Blunt,4
BS,"Melon, 360",4
BS,"Nose Grab, 360",4
BS,"360, Melon",4
Revert,"Cab, Disaster",4
BS,"Cab, Heelflip",4
BS,"Cab, Heelflip, Indy",4
BS,Nose Bluntslide,4
BS,"Boneless, 180, Fakie",4
BS,"Boneless, 360",4
Switch,Losi,4
BS,"Nose Bluntslide, Indy",4
BS,"Pivot, 270",4
Switch,Backside Air,3
BS,"Ollie, 360",3
"Switch, FS",Ollie,3
"FS, Switch",Ollie,3
FS,"Fakie, Kickflip, 180",3
"Switch, FS",Feeble,3
FS,Frontflip,3
BS,"Kickflip, Melon, Nose Blunt",3
BS,"Kickflip, Nose Grab, Bodyjar",3
"Revert, BS",Lip Slide,3
BS,"Lip Slide, 180",3
BS,"Lip Slide, Fakie",3
BS,"Ollie, Tailslide, Revert",3
Revert,"Ollie, Tailslide",3
FS,"Frontflip, Stalefish",3
FS,"Kickflip, Stalefish",3
Switch,Ollie,3
BS,"Kickflip, Decker",3
BS,"Varial Kickflip, Indy",3
BS,Heelflip,3
FS,"Ollie, Late Shove-It",3
BS,Tre Flip,3
FS,"Varial Kickflip, Tail Grab",3
FS,Bluntslide,3
FS,No Comply,3
BS,Varial Kickflip,3
BS,"Heelflip, Indy",3
FS,"Heelflip, Frontside Air",3
Switch,50-50,3
BS,"Kickflip, Disaster",3
BS,"Kickflip, Melon, Disaster",3
BS,"Kickflip, Melon",3
BS,"Kickflip, Lip Slide",3
FS,"Heelflip, Indy",3
BS,"Kickflip, Bodyjar",3
BS,"Kickflip, Fakie",3
BS,"Kickflip, Indy, Fakie",3
FS,"Kickflip, Indy, Fakie",3
BS,"Kickflip, Melon, Bodyjar",3
FS,"Trayflip, Tail Grab",3
BS,Trayflip,3
BS,Kickflip,3
BS,"Kickflip, 50-50",3
BS,180,3
BS,"180, Fakie",3
BS,"Fakie, 180",3
BS,"Big Spin, Smith",3
Switch,Lip Slide,3
FS,Nose Bluntslide,3
BS,Big Spin,3
BS,"Big Spin, Disaster",3
BS,Sugarcane,3
FS,Blunt,3
BS,"Nose Grab, 180",3
BS,Nose Blunt,3
BS,"Ollie, Nose Blunt",3
FS,"Ollie, 180, 50-50, Fakie",3
FS,"Ollie, 180, 50-50",3
BS,"Ollie, Body Varial",3
BS,"Ollie, Body Varial, Disaster",3
FS,"180 Halfcab, Blunt, Fakie",3
FS,"Big Spin, Tail Grab",3
BS,"Boneless, Disaster",3
FS,"Fakie, 180 Halfcab, Blunt",3
Revert,"Ollie, Nose Grind",3
BS,"Boneless, Board Varial",3
FS,"Frontside Invert, One Foot Invert",3
BS,Boneless,3
FS,"Boneless, Tail Tap",3
FS,Nose Blunt,3
FS,"Ollie, Nose Blunt",3
FS,Boneless,3
FS,"Pop Shove-It, Tail Grab",3
BS,"360, Backside Air, Rock & Roll",3
BS,"360, Nose Grab, Rock & Roll",3
FS,Board Varial,3
BS,"Board Varial, Indy",3
FS,"Pop Shove-It, Frontside Air",3
FS,"Nose Grind, Fakie",3
BS,"Feeble, Lip Slide",3
BS,"Tail Grab, Body Varial, Disaster",3
BS,Board Varial,3
BS,"Cab, Disaster",3
FS,"5-0 Stand Up, Fakie",3
FS,"Fakie, 5-0 Stand Up",3
BS,"Board Varial, Eggplant",3
FS,"Body Varial, Lein Tail",3
"FS, BS","Ollie, 270, Cab, Disaster",3
FS,"Ollie, 5-0 , Fakie",3
BS,"Roll Out, Alley Oop, Ollie",3
