Timeline,Start_time,Duration,Athlete,Trick_number,Amplitude,Side,Run_rating,Feature_list,Combo_list,Competition_run,Speed_rating,Score,Trick_speed_rating,Start,Trick_rating_list,Trick_list
Men’s Park Final 2019 Dew Tour,1375.750433,7.298255556,Barros Trick,1,6ft+,FS,,"Hip Transfer, Pocket",Feature Combo,"Final, Run 1",,,Aggressive,"Drop In, Mellow Quarter",Benchmark,"Ollie, Smith, Combo"
Men’s Park Final 2019 Dew Tour,1382.048689,3.895866667,Barros Trick,2,3ft,BS,,"Step Up, Big Tranny / Extention",Feature Combo,,,,Aggressive,,Benchmark,Lip Slide
Men’s Park Final 2019 Dew Tour,1384.944556,6.078544444,Barros Trick,3,6ft+,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,Frontside Air
Men’s Park Final 2019 Dew Tour,1390.0231,3.576455556,Barros Trick,4,6ft+,BS,,Flat Wall,,,,,Aggressive,,Benchmark,Smith
Men’s Park Final 2019 Dew Tour,1392.599556,3.800444444,Barros Trick,5,6ft+,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,540 Melon
Men’s Park Final 2019 Dew Tour,1395.4,3.509711111,Barros Trick,6,3ft,BS,,Flat Wall,,,,,Flow,,Clean,"Alley Oop, Indy"
Men’s Park Final 2019 Dew Tour,1397.909711,4.275122222,Barros Trick,7,5ft,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,"Alley Oop, 50-50"
Men’s Park Final 2019 Dew Tour,1401.184833,3.886344444,Barros Trick,8,1ft,BS,,Flat Bank,,,,,Technical,,Clean,Nose Blunt
Men’s Park Final 2019 Dew Tour,1404.071178,3.008822222,Barros Trick,9,5ft,BS,,Hip,,,,,Aggressive,,Benchmark,Backside Air
Men’s Park Final 2019 Dew Tour,1406.08,4.173433333,Barros Trick,10,3ft,BS,,Deep End,,,,,Aggressive,,Benchmark,"Nose Grab, Disaster, Combo"
Men’s Park Final 2019 Dew Tour,1409.253433,4.013377778,Barros Trick,11,5ft,FS,,"Hip Transfer, Flat Bank",Feature Combo,,,,Aggressive,,Benchmark,"Alley Oop, Frontside Air"
Men’s Park Final 2019 Dew Tour,1412.266811,3.288088889,Barros Trick,12,5ft,FS,,"Mellow  Quarter, High to Low Transfer",Feature Combo,,,,Aggressive,,Benchmark,5-0 Stand Up
Men’s Park Final 2019 Dew Tour,1414.5549,3.557011111,Barros Trick,13,4ft,BS,,Flat Wall,,,,,Flow,,Clean,Indy
Men’s Park Final 2019 Dew Tour,1417.111911,3.208088889,Barros Trick,14,4ft,BS,,"Hip Transfer, Mellow  Quarter",Feature Combo,,,,Flow,,Benchmark,"Indy, Fakie"
Men’s Park Final 2019 Dew Tour,1419.32,4.92,Barros Trick,15,1ft,Revert,Bail,Flat Bank,,,Aggressive,73,Technical,,Sketchy,"Fakie, Decker"
Men’s Park Final 2019 Dew Tour,2591.463749,6.809262433,Barros Trick,16,6ft+,FS,,"Hip Transfer, Pocket",Feature Combo,"Final, Run 2",,,Aggressive,"Drop In, Mellow Quarter",Benchmark,"Ollie, Smith, Combo"
Men’s Park Final 2019 Dew Tour,2597.273011,3.911433333,Barros Trick,17,3ft,BS,,"Step Up, Big Tranny / Extention",Feature Combo,,,,Aggressive,,Benchmark,"Ollie, Lip Slide"
Men’s Park Final 2019 Dew Tour,2600.184444,6.100738403,Barros Trick,18,6ft+,FS,,Mellow  Quarter,,,,,Aggressive,,Benchmark,Frontside Air
Men’s Park Final 2019 Dew Tour,2605.285183,3.714817153,Barros Trick,19,5ft,BS,,Flat Wall,,,,,Aggressive,,Benchmark,Smith
Men’s Park Final 2019 Dew Tour,2608,3.4,Barros Trick,20,6ft+,BS,,Deep Bowl Wall,,,,,Aggressive,,Benchmark,540 Melon
Men’s Park Final 2019 Dew Tour,2610.4,3.68,Barros Trick,21,5ft,BS,,Flat Wall,,,,,Aggressive,,Benchmark,"Alley Oop, Indy"
Men’s Park Final 2019 Dew Tour,2613.08,4.1048,Barros Trick,22,3ft,BS,,Mellow  Quarter,,,,,Flow,,Clean,"Rockslide, Fakie"
Men’s Park Final 2019 Dew Tour,2616.1848,3.6552,Barros Trick,23,1ft,BS,,Flat Bank,,,,,Technical,,Clean,"Fakie, Nose Blunt"
Men’s Park Final 2019 Dew Tour,2618.84,3.36,Barros Trick,24,6ft+,BS,,Hip,,,,,Aggressive,,Benchmark,Backside Air
